Travel expense,Distance,Service time,Age,Work/day,Son,Drinker,Pet,Weight,Height,Absenteeism(hrs)
289,36,13,33,239.554,2,1,1,90,172,4
118,13,18,50,239.554,1,1,0,98,178,0
179,51,18,38,239.554,0,1,0,89,170,2
279,5,14,39,239.554,2,1,0,68,168,4
289,36,13,33,239.554,2,1,1,90,172,2
179,51,18,38,239.554,0,1,0,89,170,2
361,52,3,28,239.554,1,1,4,80,172,8
260,50,11,36,239.554,4,1,0,65,168,4
155,12,14,34,239.554,2,1,0,95,196,40
235,11,14,37,239.554,1,0,1,88,172,8
260,50,11,36,239.554,4,1,0,65,168,8
260,50,11,36,239.554,4,1,0,65,168,8
260,50,11,36,239.554,4,1,0,65,168,8
179,51,18,38,239.554,0,1,0,89,170,1
179,51,18,38,239.554,0,1,0,89,170,4
246,25,16,41,239.554,0,1,0,67,170,8
179,51,18,38,239.554,0,1,0,89,170,2
179,51,18,38,239.554,0,1,0,89,170,8
189,29,13,33,239.554,2,0,2,69,167,8
248,25,14,47,205.917,2,0,1,86,165,2
330,16,4,28,205.917,0,0,0,84,182,8
179,51,18,38,205.917,0,1,0,89,170,1
361,52,3,28,205.917,1,1,4,80,172,40
260,50,11,36,205.917,4,1,0,65,168,4
289,36,13,33,205.917,2,1,1,90,172,8
361,52,3,28,205.917,1,1,4,80,172,7
289,36,13,33,205.917,2,1,1,90,172,1
157,27,6,29,205.917,0,1,0,75,185,4
289,36,13,33,205.917,2,1,1,90,172,8
179,51,18,38,205.917,0,1,0,89,170,2
179,51,18,38,205.917,0,1,0,89,170,8
235,29,12,48,205.917,1,0,5,88,163,8
235,11,14,37,205.917,1,0,1,88,172,4
235,29,12,48,205.917,1,0,5,88,163,8
179,51,18,38,205.917,0,1,0,89,170,2
361,52,3,28,205.917,1,1,4,80,172,1
289,36,13,33,205.917,2,1,1,90,172,8
291,50,12,32,205.917,0,1,0,65,169,4
235,29,12,48,205.917,1,0,5,88,163,8
260,50,11,36,205.917,4,1,0,65,168,4
184,42,7,27,241.476,0,0,0,58,167,2
118,10,10,37,241.476,0,0,0,83,172,4
179,51,18,38,241.476,0,1,0,89,170,4
235,20,13,43,241.476,1,1,0,106,167,8
155,12,14,34,241.476,2,1,0,95,196,2
118,10,10,37,241.476,0,0,0,83,172,3
179,51,18,38,241.476,0,1,0,89,170,3
291,31,12,40,241.476,1,1,1,73,171,4
260,50,11,36,241.476,4,1,0,65,168,8
291,31,12,40,241.476,1,1,1,73,171,32
260,50,11,36,241.476,4,1,0,65,168,0
225,26,9,28,241.476,1,0,2,69,169,0
225,26,9,28,241.476,1,0,2,69,169,2
118,10,10,37,241.476,0,0,0,83,172,2
289,36,13,33,241.476,2,1,1,90,172,0
118,13,18,50,241.476,1,1,0,98,178,0
225,26,9,28,241.476,1,0,2,69,169,3
179,51,18,38,241.476,0,1,0,89,170,3
369,17,12,31,241.476,3,1,0,70,169,0
248,25,14,47,241.476,2,0,1,86,165,1
179,51,18,38,241.476,0,1,0,89,170,3
260,50,11,36,241.476,4,1,0,65,168,4
179,51,18,38,253.465,0,1,0,89,170,3
118,10,10,37,253.465,0,0,0,83,172,3
118,13,18,50,253.465,1,1,0,98,178,0
179,26,9,30,253.465,0,0,0,56,171,1
179,51,18,38,253.465,0,1,0,89,170,3
225,26,9,28,253.465,1,0,2,69,169,3
118,10,10,37,253.465,0,0,0,83,172,3
225,26,9,28,253.465,1,0,2,69,169,2
248,25,14,47,253.465,2,0,1,86,165,2
291,31,12,40,253.465,1,1,1,73,171,5
179,51,18,38,253.465,0,1,0,89,170,8
225,26,9,28,253.465,1,0,2,69,169,3
260,50,11,36,253.465,4,1,0,65,168,16
291,31,12,40,253.465,1,1,1,73,171,8
225,26,9,28,253.465,1,0,2,69,169,2
289,36,13,33,253.465,2,1,1,90,172,8
361,52,3,28,253.465,1,1,4,80,172,1
260,50,11,36,253.465,4,1,0,65,168,3
179,51,18,38,306.345,0,1,0,89,170,1
225,26,9,28,306.345,1,0,2,69,169,1
179,51,18,38,306.345,0,1,0,89,170,8
179,22,17,40,306.345,2,0,0,63,170,8
291,31,12,40,306.345,1,1,1,73,171,5
155,12,14,34,306.345,2,1,0,95,196,32
189,29,13,33,306.345,2,0,2,69,167,8
291,31,12,40,306.345,1,1,1,73,171,40
225,26,9,28,306.345,1,0,2,69,169,1
155,12,14,34,306.345,2,1,0,95,196,8
225,26,9,28,306.345,1,0,2,69,169,3
179,22,17,40,306.345,2,0,0,63,170,8
225,26,9,28,306.345,1,0,2,69,169,3
260,50,11,36,306.345,4,1,0,65,168,4
248,25,14,47,306.345,2,0,1,86,165,1
225,26,9,28,306.345,1,0,2,69,169,3
289,36,13,33,306.345,2,1,1,90,172,24
291,31,12,40,306.345,1,1,1,73,171,3
248,25,14,47,261.306,2,0,1,86,165,1
118,10,10,37,261.306,0,0,0,83,172,64
118,13,18,50,261.306,1,1,0,98,178,2
235,11,14,37,261.306,1,0,1,88,172,8
225,26,9,28,261.306,1,0,2,69,169,2
260,50,11,36,261.306,4,1,0,65,168,8
118,10,10,37,261.306,0,0,0,83,172,56
361,52,3,28,261.306,1,1,4,80,172,8
225,26,9,28,261.306,1,0,2,69,169,3
260,50,11,36,261.306,4,1,0,65,168,3
225,26,9,28,261.306,1,0,2,69,169,2
361,52,3,28,261.306,1,1,4,80,172,8
118,10,10,37,261.306,0,0,0,83,172,2
246,25,16,41,261.306,0,1,0,67,170,8
225,26,9,28,261.306,1,0,2,69,169,2
225,26,9,28,308.593,1,0,2,69,169,1
118,10,10,37,308.593,0,0,0,83,172,1
118,10,10,37,308.593,0,0,0,83,172,1
155,12,14,34,308.593,2,1,0,95,196,8
225,26,9,28,308.593,1,0,2,69,169,2
184,42,7,27,308.593,0,0,0,58,167,2
225,26,9,28,308.593,1,0,2,69,169,2
225,26,9,28,308.593,1,0,2,69,169,1
118,10,10,37,308.593,0,0,0,83,172,2
225,26,9,28,308.593,1,0,2,69,169,2
118,10,10,37,308.593,0,0,0,83,172,2
118,10,10,37,308.593,0,0,0,83,172,2
118,10,10,37,308.593,0,0,0,83,172,2
118,10,10,37,308.593,0,0,0,83,172,2
118,10,10,37,308.593,0,0,0,83,172,2
118,10,10,37,308.593,0,0,0,83,172,2
179,26,9,30,308.593,0,0,0,56,171,8
289,36,13,33,308.593,2,1,1,90,172,8
118,10,10,37,308.593,0,0,0,83,172,2
184,42,7,27,308.593,0,0,0,58,167,2
118,10,10,37,308.593,0,0,0,83,172,2
118,10,10,37,308.593,0,0,0,83,172,0
225,26,9,28,308.593,1,0,2,69,169,1
289,36,13,33,308.593,2,1,1,90,172,3
184,42,7,27,302.585,0,0,0,58,167,1
246,25,16,41,302.585,0,1,0,67,170,8
179,51,18,38,302.585,0,1,0,89,170,8
155,12,14,34,302.585,2,1,0,95,196,2
189,29,13,33,302.585,2,0,2,69,167,8
260,50,11,36,302.585,4,1,0,65,168,2
289,36,13,33,302.585,2,1,1,90,172,8
388,15,9,50,302.585,0,0,0,76,178,8
388,15,9,50,302.585,0,0,0,76,178,8
225,26,9,28,302.585,1,0,2,69,169,2
225,26,9,28,302.585,1,0,2,69,169,2
179,26,9,30,302.585,0,0,0,56,171,1
184,42,7,27,302.585,0,0,0,58,167,8
225,26,9,28,302.585,1,0,2,69,169,3
330,16,4,28,302.585,0,0,0,84,182,8
330,16,4,28,302.585,0,0,0,84,182,1
225,26,9,28,302.585,1,0,2,69,169,1
189,29,13,33,302.585,2,0,2,69,167,8
291,50,12,32,343.253,0,1,0,65,169,2
