,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,sofifa_id,nationality_name,overall,club_name,club_position,league_name,age,wage_eur,league_name.1,pos_type,player_position,final_league,age_cluster,rating_cluster,continent
0,0,0,0,158023,Argentina,93,Paris Saint-Germain,RW,French Ligue 1,34,320000.0,French Ligue 1,1,RW,French Ligue,31-35,91-95,South America
1,1,1,1,188545,Poland,92,FC Bayern München,ST,German 1. Bundesliga,32,270000.0,German 1. Bundesliga,1,ST,German Bundesliga,31-35,91-95,Europe
2,2,2,2,20801,Portugal,91,Manchester United,ST,English Premier League,36,270000.0,English Premier League,1,ST,English Premier League,36-40,91-95,Europe
3,3,3,3,190871,Brazil,91,Paris Saint-Germain,LW,French Ligue 1,29,270000.0,French Ligue 1,1,LW,French Ligue,26-30,91-95,South America
4,4,4,4,192985,Belgium,91,Manchester City,RCM,English Premier League,30,350000.0,English Premier League,2,CM,English Premier League,26-30,91-95,Europe
5,5,5,5,200389,Slovenia,91,Atlético de Madrid,GK,Spain Primera Division,28,130000.0,Spain Primera Division,3,GK,Spanish La Liga,26-30,91-95,Europe
6,6,6,6,231747,France,91,Paris Saint-Germain,ST,French Ligue 1,22,230000.0,French Ligue 1,1,ST,French Ligue,21-25,91-95,Europe
7,7,7,7,167495,Germany,90,FC Bayern München,GK,German 1. Bundesliga,35,86000.0,German 1. Bundesliga,3,GK,German Bundesliga,31-35,86-90,Europe
8,8,8,8,192448,Germany,90,FC Barcelona,GK,Spain Primera Division,29,250000.0,Spain Primera Division,3,GK,Spanish La Liga,26-30,86-90,Europe
9,9,9,9,202126,England,90,Tottenham Hotspur,ST,English Premier League,27,240000.0,English Premier League,1,ST,English Premier League,26-30,86-90,Europe
10,10,10,10,215914,France,90,Chelsea,RCM,English Premier League,30,230000.0,English Premier League,2,CDM,English Premier League,26-30,86-90,Europe
11,11,11,11,165153,France,89,Real Madrid CF,CF,Spain Primera Division,33,350000.0,Spain Primera Division,1,CF,Spanish La Liga,31-35,86-90,Europe
12,12,12,12,192119,Belgium,89,Real Madrid CF,GK,Spain Primera Division,29,250000.0,Spain Primera Division,3,GK,Spanish La Liga,26-30,86-90,Europe
13,13,13,13,200104,Korea Republic,89,Tottenham Hotspur,LW,English Premier League,28,220000.0,English Premier League,2,LM,English Premier League,26-30,86-90,Asia
14,14,14,14,200145,Brazil,89,Real Madrid CF,CDM,Spain Primera Division,29,310000.0,Spain Primera Division,2,CDM,Spanish La Liga,26-30,86-90,South America
15,15,15,15,203376,Netherlands,89,Liverpool,LCB,English Premier League,29,230000.0,English Premier League,0,CB,English Premier League,26-30,86-90,Europe
16,16,16,16,208722,Senegal,89,Liverpool,LW,English Premier League,29,270000.0,English Premier League,1,LW,English Premier League,26-30,86-90,Africa
17,17,17,17,209331,Egypt,89,Liverpool,RW,English Premier League,29,270000.0,English Premier League,1,RW,English Premier League,26-30,86-90,Africa
18,18,18,18,210257,Brazil,89,Manchester City,GK,English Premier League,27,200000.0,English Premier League,3,GK,English Premier League,26-30,86-90,South America
19,19,19,19,212622,Germany,89,FC Bayern München,RDM,German 1. Bundesliga,26,160000.0,German 1. Bundesliga,2,CDM,German Bundesliga,,86-90,Europe
20,20,20,20,212831,Brazil,89,Liverpool,GK,English Premier League,28,190000.0,English Premier League,3,GK,English Premier League,26-30,86-90,South America
21,21,21,21,230621,Italy,89,Paris Saint-Germain,GK,French Ligue 1,22,110000.0,French Ligue 1,3,GK,French Ligue,21-25,86-90,Europe
22,22,22,22,155862,Spain,88,Paris Saint-Germain,LCB,French Ligue 1,35,115000.0,French Ligue 1,0,CB,French Ligue,31-35,86-90,Europe
23,23,23,23,176580,Uruguay,88,Atlético de Madrid,RS,Spain Primera Division,34,135000.0,Spain Primera Division,1,ST,Spanish La Liga,31-35,86-90,South America
